Mon, 07 Feb 2022 18:34:09 GMT | INFO | mobile.log | Scraping item 1/10 of page 98..... | 
Mon, 07 Feb 2022 18:34:09 GMT | INFO | mobile.log | Scraping item 2/10 of page 98..... | 
Mon, 07 Feb 2022 18:34:09 GMT | INFO | mobile.log | Scraping item 3/10 of page 98..... | 
Mon, 07 Feb 2022 18:34:09 GMT | INFO | mobile.log | Scraping item 4/10 of page 98..... | 
Mon, 07 Feb 2022 18:34:09 GMT | INFO | mobile.log | Scraping item 5/10 of page 98..... | 
Mon, 07 Feb 2022 18:34:09 GMT | INFO | mobile.log | Scraping item 6/10 of page 98..... | 
Mon, 07 Feb 2022 18:34:09 GMT | INFO | mobile.log | Scraping item 7/10 of page 98..... | 
Mon, 07 Feb 2022 18:34:09 GMT | INFO | mobile.log | Scraping item 8/10 of page 98..... | 
Mon, 07 Feb 2022 18:34:09 GMT | INFO | mobile.log | Scraping item 9/10 of page 98..... | 
Mon, 07 Feb 2022 18:34:09 GMT | INFO | mobile.log | Scraping item 10/10 of page 98..... | 
Mon, 07 Feb 2022 18:34:12 GMT | INFO | mobile.log | Successfully Scrapped 10 items of page 98 | 
Mon, 07 Feb 2022 18:34:12 GMT | INFO | mobile.log | Successfully scraped 1010 till now | 
Mon, 07 Feb 2022 18:34:14 GMT | INFO | mobile.log | Start scrapping page 99....... | 
Mon, 07 Feb 2022 18:34:14 GMT | INFO | mobile.log | Scraping 10 items | 
Mon, 07 Feb 2022 18:34:14 GMT | INFO | mobile.log | Scraping item 1/10 of page 99..... | 
Mon, 07 Feb 2022 18:34:14 GMT | INFO | mobile.log | Scraping item 2/10 of page 99..... | 
Mon, 07 Feb 2022 18:34:14 GMT | INFO | mobile.log | Scraping item 3/10 of page 99..... | 
Mon, 07 Feb 2022 18:34:14 GMT | INFO | mobile.log | Scraping item 4/10 of page 99..... | 
Mon, 07 Feb 2022 18:34:14 GMT | INFO | mobile.log | Scraping item 5/10 of page 99..... | 
Mon, 07 Feb 2022 18:34:14 GMT | INFO | mobile.log | Scraping item 6/10 of page 99..... | 
Mon, 07 Feb 2022 18:34:14 GMT | INFO | mobile.log | Scraping item 7/10 of page 99..... | 
Mon, 07 Feb 2022 18:34:14 GMT | INFO | mobile.log | Scraping item 8/10 of page 99..... | 
Mon, 07 Feb 2022 18:34:14 GMT | INFO | mobile.log | Scraping item 9/10 of page 99..... | 
Mon, 07 Feb 2022 18:34:14 GMT | INFO | mobile.log | Scraping item 10/10 of page 99..... | 
Mon, 07 Feb 2022 18:34:17 GMT | INFO | mobile.log | Successfully Scrapped 10 items of page 99 | 
Mon, 07 Feb 2022 18:34:17 GMT | INFO | mobile.log | Successfully scraped 1020 till now | 
Mon, 07 Feb 2022 18:34:19 GMT | INFO | mobile.log | Start scrapping page 100....... | 
Mon, 07 Feb 2022 18:34:19 GMT | INFO | mobile.log | Scraping 10 items | 
Mon, 07 Feb 2022 18:34:19 GMT | INFO | mobile.log | Scraping item 1/10 of page 100..... | 
Mon, 07 Feb 2022 18:34:19 GMT | INFO | mobile.log | Scraping item 2/10 of page 100..... | 
Mon, 07 Feb 2022 18:34:19 GMT | INFO | mobile.log | Scraping item 3/10 of page 100..... | 
Mon, 07 Feb 2022 18:34:19 GMT | INFO | mobile.log | Scraping item 4/10 of page 100..... | 
Mon, 07 Feb 2022 18:34:19 GMT | INFO | mobile.log | Scraping item 5/10 of page 100..... | 
Mon, 07 Feb 2022 18:34:19 GMT | INFO | mobile.log | Scraping item 6/10 of page 100..... | 
Mon, 07 Feb 2022 18:34:19 GMT | INFO | mobile.log | Scraping item 7/10 of page 100..... | 
Mon, 07 Feb 2022 18:34:19 GMT | INFO | mobile.log | Scraping item 8/10 of page 100..... | 
Mon, 07 Feb 2022 18:34:19 GMT | INFO | mobile.log | Scraping item 9/10 of page 100..... | 
Mon, 07 Feb 2022 18:34:19 GMT | INFO | mobile.log | Scraping item 10/10 of page 100..... | 
Mon, 07 Feb 2022 18:34:21 GMT | INFO | mobile.log | Successfully Scrapped 10 items of page 100 | 
Mon, 07 Feb 2022 18:34:21 GMT | INFO | mobile.log | Successfully scraped 1030 till now | 
Mon, 07 Feb 2022 18:34:24 GMT | INFO | mobile.log | Start scrapping page 101....... | 
Mon, 07 Feb 2022 18:34:24 GMT | INFO | mobile.log | Scraping 10 items | 
Mon, 07 Feb 2022 18:34:24 GMT | INFO | mobile.log | Scraping item 1/10 of page 101..... | 
